wall_clock,entity_id,seq,t_publish_ms,t_orion_ms,t_crate_ms,backlog_ms
1788200259.707,SynthZone:0022,15,1.2,84229.3,84233.3,4.0
1788200259.719,SynthZone:0024,15,0.6,84056.4,84063.3,6.9
1788200259.732,SynthZone:0050,15,1.0,84026.2,84031.1,4.9
1788200259.741,SynthZone:0025,15,0.8,83994.1,83997.8,3.7
1788200259.749,SynthZone:0093,15,1.3,83882.5,83885.5,2.9
1788200260.562,SynthZone:0088,15,0.6,84101.4,86202.1,2100.7
1788200260.573,SynthZone:0006,15,1.8,84500.7,84505.5,4.7
1788200260.598,SynthZone:0052,15,1.2,84241.5,85196.7,955.2
1788200260.603,SynthZone:0057,15,0.8,84449.2,84451.5,2.3
1788200260.608,SynthZone:0011,15,1.0,84101.3,84103.1,1.8
1788200260.613,SynthZone:0083,15,0.8,84060.5,84062.6,2.0
1788200260.618,SynthZone:0023,15,1.3,83908.2,83911.4,3.2
1788200260.625,SynthZone:0028,15,0.7,83694.9,83697.7,2.8
1788200260.63,SynthZone:0007,15,1.1,83606.0,83608.4,2.4
1788200260.636,SynthZone:0033,15,3.2,83356.5,83359.0,2.5
1788200261.441,SynthZone:0095,15,0.9,38175.8,,
1788200261.452,SynthZone:0026,15,1.9,84079.5,84083.9,4.4
1788200261.585,SynthZone:0090,15,1.1,83325.0,84270.2,945.2
1788200262.63,SynthZone:0069,15,0.7,72326.1,,
1788200262.633,SynthZone:0065,15,1.0,75450.7,,
1788200262.646,SynthZone:0042,15,1.6,84802.9,84808.5,5.7
1788200262.65,SynthZone:0004,15,0.5,85051.6,85065.1,13.5
1788200262.668,SynthZone:0008,15,1.5,84699.8,84706.3,6.5
1788200262.677,SynthZone:0040,15,1.3,84701.1,84704.1,3.1
1788200262.684,SynthZone:0089,15,2.0,84671.9,84674.4,2.6
1788200264.06,SynthZone:0071,15,1.4,78977.6,,
1788200264.07,SynthZone:0047,15,0.8,85817.9,85822.4,4.5
1788200264.08,SynthZone:0037,15,1.0,85708.0,85711.8,3.7
1788200264.087,SynthZone:0044,15,2.0,85342.8,85345.3,2.5
1788200264.324,SynthZone:0061,15,1.2,80127.2,,
1788200264.338,SynthZone:0041,15,1.5,85129.6,85135.8,6.1
1788200264.349,SynthZone:0034,15,0.9,84930.7,84936.0,5.3
1788200266.041,SynthZone:0066,15,0.6,83781.6,,
1788200266.051,SynthZone:0002,15,0.8,86501.1,86505.1,3.9
1788200266.06,SynthZone:0003,15,1.7,86006.2,86009.6,3.4
1788200266.07,SynthZone:0036,15,6.7,85911.3,85915.4,4.1
1788200266.081,SynthZone:0013,15,4.6,85919.1,85923.8,4.8
1788200266.093,SynthZone:0021,15,1.2,85438.8,85443.8,4.9
1788200266.109,SynthZone:0070,15,0.9,84493.4,,
1788200267.541,SynthZone:0054,15,3.7,83957.1,,
1788200267.586,SynthZone:0077,15,0.7,84022.2,,
1788200267.591,SynthZone:0081,15,0.8,86297.3,86299.5,2.2
1788200267.898,SynthZone:0075,15,1.7,84819.1,,
1788200268.336,SynthZone:0076,15,6.4,84455.2,,
1788200268.347,SynthZone:0100,15,3.8,86486.3,86490.2,3.9
1788200268.357,SynthZone:0010,15,5.9,86462.5,86467.0,4.6
1788200268.37,SynthZone:0043,15,1.2,86363.0,86368.1,5.1
1788200268.382,SynthZone:0027,15,3.2,85646.2,85650.7,4.5
1788200268.392,SynthZone:0055,15,4.8,85241.2,85245.2,4.0
1788200268.827,SynthZone:0097,15,1.2,85303.8,,
1788200268.837,SynthZone:0035,15,1.2,85485.8,85490.1,4.3
1788200268.849,SynthZone:0098,15,0.5,85235.9,85241.3,5.4
1788200268.864,SynthZone:0067,15,1.2,85111.5,85119.6,8.1
1788200269.508,SynthZone:0064,15,1.2,84902.8,,
1788200269.725,SynthZone:0056,15,0.9,86369.1,88550.0,2180.9
1788200270.697,SynthZone:0062,15,1.3,85437.4,,
1788200270.708,SynthZone:0014,15,1.0,85377.4,85381.5,4.1
1788200270.72,SynthZone:0016,15,1.3,84800.7,84804.5,3.8
1788200270.731,SynthZone:0049,15,0.5,84535.2,84538.9,3.8
1788200270.953,SynthZone:0082,15,5.0,85217.4,,
1788200271.55,SynthZone:0053,15,0.6,86108.6,,
1788200271.558,SynthZone:0015,20,1.0,57467.0,57470.4,3.4
1788200271.565,SynthZone:0019,20,2.1,55689.8,55692.7,2.9
1788200271.572,SynthZone:0020,20,0.9,54922.3,54925.0,2.7
1788200271.598,SynthZone:0058,15,0.5,86392.2,,
1788200271.61,SynthZone:0018,20,0.9,52856.3,52861.9,5.6
1788200273.407,SynthZone:0051,15,2.6,85074.0,,
1788200274.206,SynthZone:0060,15,0.4,84760.1,,
1788200274.322,SynthZone:0079,15,1.2,85270.8,,
1788200274.867,SynthZone:0074,15,1.4,84925.9,,
1788200276.574,SynthZone:0080,15,0.6,84234.0,,
1788200303.584,SynthZone:0068,20,3.1,57478.7,,
1788200303.597,SynthZone:0030,20,0.6,82540.2,82546.2,6.0
1788200308.025,SynthZone:0096,20,2.1,53556.5,,
1788200308.036,SynthZone:0024,20,1.2,86752.0,86756.0,4.0
1788200308.044,SynthZone:0009,20,1.1,86262.8,86266.0,3.2
1788200309.748,SynthZone:0084,20,1.2,51911.0,,
1788200309.76,SynthZone:0029,20,1.3,87593.1,87598.6,5.5
1788200309.775,SynthZone:0046,20,1.8,87437.0,87442.9,5.9
1788200309.796,SynthZone:0001,20,0.5,87270.1,87276.6,6.4
1788200309.804,SynthZone:0017,20,0.5,87062.4,87065.2,2.8
1788200309.809,SynthZone:0011,20,0.8,86879.2,86881.3,2.1
1788200309.815,SynthZone:0005,20,1.3,86732.3,86734.6,2.3
1788200310.323,SynthZone:0095,20,1.1,53142.2,,
1788200310.331,SynthZone:0038,20,1.1,87189.7,87193.9,4.2
1788200310.827,SynthZone:0087,20,1.8,53532.3,,
1788200310.835,SynthZone:0059,20,2.1,53416.7,,
1788200310.994,SynthZone:0065,20,1.4,55590.3,,
1788200310.997,SynthZone:0099,20,1.0,53918.7,,
1788200311.012,SynthZone:0048,20,0.7,86969.5,86975.1,5.6
1788200311.023,SynthZone:0045,20,3.0,86870.1,86873.9,3.8
1788200311.221,SynthZone:0063,20,2.6,82476.3,,
1788200311.231,SynthZone:0039,20,0.4,86703.6,86707.9,4.3
1788200312.028,SynthZone:0072,20,0.9,86113.3,,
1788200313.178,SynthZone:0091,20,0.9,86707.1,,
1788200313.184,SynthZone:0031,20,1.6,88072.9,88075.5,2.6
1788200313.589,SynthZone:0085,20,4.6,86849.6,,
1788200313.654,SynthZone:0052,20,1.0,87199.7,,
1788200313.668,SynthZone:0032,20,2.2,88152.7,88160.9,8.2
1788200313.981,SynthZone:0070,20,0.8,86960.6,,
1788200314.031,SynthZone:0092,20,1.0,87026.0,,
1788200314.037,SynthZone:0050,20,1.6,88115.5,88118.0,2.5
1788200314.472,SynthZone:0086,20,3.4,86586.2,,
1788200314.705,SynthZone:0090,20,0.8,86550.8,,
1788200314.845,SynthZone:0057,20,0.8,87247.6,,
1788200315.393,SynthZone:0088,20,0.9,87875.2,,
1788200315.408,SynthZone:0004,20,2.3,89071.3,89076.8,5.5
1788200315.423,SynthZone:0012,20,0.9,88938.3,88944.2,5.9
1788200315.431,SynthZone:0033,20,0.7,88917.6,88921.3,3.7
1788200315.439,SynthZone:0037,20,6.4,88835.6,88839.8,4.2
1788200315.501,SynthZone:0066,20,2.3,88115.1,,
1788200315.765,SynthZone:0094,20,0.9,87966.7,,
1788200315.871,SynthZone:0069,20,1.0,88131.2,,
1788200315.883,SynthZone:0025,20,1.2,88580.4,88584.1,3.7
1788200316.029,SynthZone:0061,20,1.0,88101.0,,
1788200316.038,SynthZone:0054,20,2.2,88458.6,,
1788200316.044,SynthZone:0028,20,1.6,88569.9,88574.9,5.0
1788200316.054,SynthZone:0022,20,1.0,88515.9,88522.8,6.9
1788200316.066,SynthZone:0006,20,2.5,88509.0,88513.9,4.9
1788200316.182,SynthZone:0089,20,0.9,88577.7,,
1788200316.195,SynthZone:0041,20,0.7,88545.1,88552.0,6.9
1788200316.208,SynthZone:0026,20,0.5,88059.4,88064.4,5.0
1788200316.211,SynthZone:0071,20,0.8,88684.0,,
1788200316.224,SynthZone:0007,20,1.4,88031.9,88039.6,7.7
1788200316.237,SynthZone:0042,20,0.8,87921.1,87927.0,5.9
1788200316.25,SynthZone:0034,20,0.8,87853.6,87859.6,5.9
1788200316.263,SynthZone:0023,20,0.6,87727.7,87732.7,5.1
1788200316.816,SynthZone:0093,20,1.1,88636.1,,
1788200316.824,SynthZone:0040,20,2.4,87853.4,87856.0,2.5
1788200316.829,SynthZone:0008,20,0.8,87684.0,87685.9,1.9
1788200316.834,SynthZone:0003,20,0.7,87585.4,87587.4,2.0
1788200317.131,SynthZone:0083,20,2.2,88693.3,,
1788200317.143,SynthZone:0047,20,1.1,87525.4,87530.6,5.1
1788200317.179,SynthZone:0076,20,2.9,88430.9,,
1788200317.462,SynthZone:0077,20,3.3,88511.1,,
1788200317.476,SynthZone:0044,20,0.8,87645.3,87652.6,7.2
1788200317.614,SynthZone:0078,20,2.5,88497.5,,
1788200317.626,SynthZone:0002,20,1.4,87557.4,87562.2,4.8
1788200317.633,SynthZone:0073,20,2.2,88476.8,,
1788200317.638,SynthZone:0010,20,1.0,87384.2,87390.8,6.5
1788200317.651,SynthZone:0036,20,1.3,86674.0,86680.2,6.1
1788200317.663,SynthZone:0013,20,2.0,86603.6,86609.6,5.9
1788200318.311,SynthZone:0097,20,0.9,87960.4,,
1788200318.326,SynthZone:0027,20,6.2,86508.7,86517.1,8.4
1788200318.337,SynthZone:0021,20,1.1,86480.4,86486.6,6.2
1788200318.871,SynthZone:0075,20,0.5,87466.9,,
1788200319.557,SynthZone:0058,20,0.8,87381.7,,
1788200319.57,SynthZone:0035,20,2.1,86721.8,86727.4,5.5
1788200319.707,SynthZone:0074,20,6.0,87448.1,,
