wall_clock,entity_id,seq,t_publish_ms,t_orion_ms,t_crate_ms,backlog_ms
1788201072.854,SynthZone:0004,30,1.7,115.0,118.4,3.4
1788201072.934,SynthZone:0002,30,0.9,113.4,117.0,3.6
1788201073.349,SynthZone:0016,30,0.6,107.1,108.9,1.7
1788201073.369,SynthZone:0043,30,0.6,106.8,108.9,2.1
1788201073.445,SynthZone:0010,30,0.6,110.2,114.4,4.2
1788201074.127,SynthZone:0032,30,1.2,113.3,117.2,3.9
1788201074.179,SynthZone:0005,30,1.1,115.4,119.4,3.9
1788201074.587,SynthZone:0044,30,1.8,117.3,121.8,4.4
1788201074.768,SynthZone:0023,30,1.6,115.8,119.3,3.5
1788201074.925,SynthZone:0048,30,1.3,117.6,124.6,7.0
1788201075.033,SynthZone:0008,30,1.6,115.9,119.8,3.9
1788201075.052,SynthZone:0009,30,0.9,119.9,126.0,6.2
1788201075.055,SynthZone:0037,30,1.4,117.2,122.3,5.2
1788201075.277,SynthZone:0015,30,0.8,114.0,118.1,4.0
1788201075.607,SynthZone:0028,30,1.1,112.2,114.4,2.1
1788201075.711,SynthZone:0019,30,0.8,112.1,118.2,6.1
1788201075.742,SynthZone:0038,30,0.9,113.0,117.9,4.9
1788201075.988,SynthZone:0006,30,1.6,116.9,121.5,4.6
1788201076.295,SynthZone:0027,30,1.5,117.5,123.8,6.3
1788201076.383,SynthZone:0013,30,1.1,115.8,120.4,4.6
1788201076.406,SynthZone:0024,30,1.1,117.5,122.9,5.3
1788201076.845,SynthZone:0035,30,1.3,112.4,115.2,2.8
1788201077.105,SynthZone:0050,30,1.7,117.6,122.0,4.4
1788201077.174,SynthZone:0036,30,0.9,114.2,118.6,4.4
1788201077.227,SynthZone:0049,30,0.9,115.9,120.0,4.1
1788201077.38,SynthZone:0041,30,1.3,117.2,121.3,4.1
1788201077.562,SynthZone:0020,30,0.6,108.4,110.8,2.5
1788201077.591,SynthZone:0033,30,0.6,107.2,109.3,2.2
1788201077.799,SynthZone:0031,30,0.5,110.0,115.4,5.3
1788201077.995,SynthZone:0014,30,1.2,114.3,119.0,4.6
1788201078.149,SynthZone:0030,30,1.1,115.3,120.7,5.4
1788201078.168,SynthZone:0026,30,1.0,114.4,119.4,5.0
1788201078.668,SynthZone:0018,30,0.7,111.4,113.8,2.4
1788201079.331,SynthZone:0029,30,0.8,113.1,116.1,3.0
1788201079.368,SynthZone:0022,30,1.0,113.9,117.8,3.9
1788201079.388,SynthZone:0034,30,1.4,114.5,118.2,3.7
1788201079.56,SynthZone:0003,30,0.9,114.9,118.4,3.5
1788201079.635,SynthZone:0040,30,1.1,113.5,117.4,3.9
1788201079.684,SynthZone:0017,30,1.0,115.4,120.0,4.6
1788201079.77,SynthZone:0039,30,1.2,113.2,115.6,2.4
1788201080.496,SynthZone:0025,30,0.8,114.0,118.9,4.8
1788201080.881,SynthZone:0045,30,0.9,117.4,122.7,5.3
1788201081.003,SynthZone:0046,30,0.8,116.6,121.3,4.7
1788201081.325,SynthZone:0001,30,1.2,115.5,119.2,3.8
1788201081.375,SynthZone:0042,30,0.9,115.8,120.8,5.0
1788201081.418,SynthZone:0047,30,1.6,115.3,120.3,5.0
1788201081.759,SynthZone:0011,30,1.7,114.1,116.9,2.8
1788201082.04,SynthZone:0012,30,1.4,116.7,124.3,7.7
1788201082.041,SynthZone:0021,30,1.7,121.6,126.4,4.8
1788201122.919,SynthZone:0007,35,1.7,116.5,881.9,765.4
1788201122.919,SynthZone:0004,35,0.7,109.4,184.5,75.2
1788201122.932,SynthZone:0002,35,2.2,114.1,116.6,2.5
1788201123.359,SynthZone:0016,35,1.0,113.9,117.7,3.8
1788201123.37,SynthZone:0043,35,1.4,114.9,118.5,3.6
1788201123.452,SynthZone:0010,35,1.0,114.7,119.1,4.5
1788201124.129,SynthZone:0032,35,1.5,113.7,117.8,4.1
1788201124.18,SynthZone:0005,35,1.0,113.5,118.0,4.5
1788201124.585,SynthZone:0044,35,0.8,113.8,118.6,4.8
1788201124.769,SynthZone:0023,35,1.8,115.9,120.5,4.6
1788201124.918,SynthZone:0048,35,0.6,111.7,117.9,6.2
1788201125.033,SynthZone:0008,35,3.8,118.0,122.0,4.0
1788201125.046,SynthZone:0009,35,2.5,119.9,124.8,4.9
1788201125.054,SynthZone:0037,35,1.7,116.1,120.4,4.2
1788201125.279,SynthZone:0015,35,0.9,116.5,121.0,4.5
1788201125.621,SynthZone:0028,35,1.0,118.7,122.9,4.2
1788201125.716,SynthZone:0019,35,1.1,113.1,116.2,3.1
1788201125.741,SynthZone:0038,35,0.6,113.0,118.2,5.1
1788201125.983,SynthZone:0006,35,1.0,113.7,117.6,4.0
1788201126.301,SynthZone:0027,35,0.9,116.2,122.0,5.8
1788201126.377,SynthZone:0013,35,1.2,114.7,118.5,3.7
1788201126.408,SynthZone:0024,35,1.6,114.7,118.5,3.8
1788201126.854,SynthZone:0035,35,1.3,116.1,120.1,4.0
1788201127.11,SynthZone:0050,35,1.4,117.6,121.9,4.4
